Station,Filename
KANINAD,ernakulam.json
EROOR,ernakulam.json
VYTTILA MOBILITY HUB,ernakulam.json
VYTTILA MOBILITY HUB,idukki.json
VYTTILA JN.,ernakulam.json
VYTTILA JN.,kottayam.json
KADAVANTHRA JN.,ernakulam.json
PALARIVATTOM JUNCTION,ernakulam.json
FORTKOCHI BUS TERMINAL,ernakulam.json
CHITTOOR TEMPLE- ERNAKULAM,ernakulam.json
KOTHAD,ernakulam.json
BTH,ernakulam.json
CHITTOOR FERRY- ERNAKULAM,ernakulam.json
KONTHURUTHY,ernakulam.json
KUNNUMPURAM,ernakulam.json
KUNNUMPURAM,malapuram.json
KUNNUMPURAM,kottayam.json
SHIPYARD- ERNAKULAM,ernakulam.json
ILLICHODU JUNCTION,ernakulam.json
PANANGAD,ernakulam.json
MALIANKARA,ernakulam.json
POOTHOTTA,ernakulam.json
POOTHOTTA,kottayam.json
THRIPUNITHURA BUS STAND,ernakulam.json
KALOOR PRIVATE BUS STAND,ernakulam.json
KALOOR PRIVATE BUS STAND,idukki.json
ALUVA BANK JUNCTION,ernakulam.json
MUTTOM,ernakulam.json
COMPANYPADI,ernakulam.json
PULINCHODE SIGNAL JUNCTION,ernakulam.json
PANANGAD.,ernakulam.json
KOTTUVALLY SOUTH,ernakulam.json
MANJ UMMEL KAVALA,ernakulam.json
VYTTILA ANTICLOCKWISE,ernakulam.json
VARAPPUZHA,ernakulam.json
THUTHIYOOR,ernakulam.json
CEPZ,ernakulam.json
AMEDA TEMPLE JN.,ernakulam.json
PERUMBALAM FERRY,ernakulam.json
AYYAPPAN KAVU,ernakulam.json
MADAVANA JUNCTION,ernakulam.json
"ERAMALLOOR,",ernakulam.json
GUNDUPARAMBBU BUS STOP- CHELLANAM,ernakulam.json
PARAPPURAM,ernakulam.json
PARAPPURAM,malapuram.json
KODUNGALLUR,ernakulam.json
KODUNGALLUR,palakkad-1.json
KODUNGALLUR,kozhikkode.json
KODUNGALLUR,palakkad-2.json
ELOOR FERRY- ELOOR,ernakulam.json
CHELLANAM,ernakulam.json
CHELLANAM,alappuzha.json
ANDHAKARANAZHY,ernakulam.json
ANDHAKARANAZHY,alappuzha.json
IRUMPANAM,ernakulam.json
MANJUMMAL,ernakulam.json
CHITTOOR,ernakulam.json
ASTER MEDICITY HOSPITAL COCHIN,ernakulam.json
ERNAKULAM SOUTH J UNCTION- CHITTOOR ROAD,ernakulam.json
VAZHAKKALA,ernakulam.json
MOOTHAKUNNAM JUNCTION,ernakulam.json
PUTHUVYPPE,ernakulam.json
VELLIKULAM,ernakulam.json
ERATTUPETTA,ernakulam.json
ERATTUPETTA,kottayam.json
ERATTUPETTA,idukki.json
ELAPPARA,ernakulam.json
ELAPPARA,idukki.json
VEGALAND,ernakulam.json
MATTANCHERRY BUS TERMINAL,ernakulam.json
KALAMASSERY.,ernakulam.json
PANAMBUKAD,ernakulam.json
EDAPPALLY,ernakulam.json
ELOOR,ernakulam.json
VYPPIN BUS STAND,ernakulam.json
N PARAVUR,ernakulam.json
PONEKKARA AIMS,ernakulam.json
KUMBALANGY FERRY,ernakulam.json
EROOR GATE,ernakulam.json
RAVIPURAM,ernakulam.json
EDAVANAKKAD,ernakulam.json
KEEZHMADU ALUVA,ernakulam.json
GTN,ernakulam.json
ATHAINI,ernakulam.json
CHOWARA NEW RD,ernakulam.json
CHERANELLOOR EDAPPLLY,ernakulam.json
THEVAKKAL,ernakulam.json
WILLINGTON ISLAND KOCHI,ernakulam.json
NAD THORAPPU,ernakulam.json
MULANTHURUTHY PALLITHAZHAM JN.,ernakulam.json
PALLIKKARA JUNCTION,ernakulam.json
KALAMASSERY HMT JUNCTION,ernakulam.json
POOTHAMKUTTY AYYAMPUZHA,ernakulam.json
MANJ APRA JN.ANGAMALY,ernakulam.json
CHULLY,ernakulam.json
AROOKUTTY,ernakulam.json
AROOKUTTY,alappuzha.json
THOPPUMPADY J UNCTION,ernakulam.json
KODUNGALLORE,ernakulam.json
MANI BAZAR,ernakulam.json
PADATHIKKARA,ernakulam.json
KUNDANNOOR,ernakulam.json
KUNDANNOOR,alappuzha.json
PUKKATTUPADY JN.,ernakulam.json
VATHURUTHY,ernakulam.json
KALVATHY FERRY,ernakulam.json
KUMBALANGY VAZHY JUNCTION,ernakulam.json
KANDAKKADAVU BUS STOP,ernakulam.json
ELOOR DEPOT,ernakulam.json
KADAKKARA,ernakulam.json
EZHIKKARA,ernakulam.json
NILAMPATHINJAMUGAL KAKKANAD,ernakulam.json
CHERIYAKADAV,ernakulam.json
MUNDAMVELI,ernakulam.json
KOTTAMAM,ernakulam.json
PALLURUTHY NADA BUS STOP,ernakulam.json
PONEKKARA,ernakulam.json
MANJAPRA,ernakulam.json
MANJAPRA,palakkad-2.json
ELAMAKKARA,ernakulam.json
HMT COLONY JN.,ernakulam.json
KOKKUNNU,ernakulam.json
CHOTTANIKKARA JN,ernakulam.json
MILLINGAL,ernakulam.json
"ELAMAKKARA, KOCHI",ernakulam.json
POOCHAKKAL,ernakulam.json
POOCHAKKAL,alappuzha.json
ULAVAIPE,ernakulam.json
AROOR TEMPLE,ernakulam.json
AROOR TEMPLE,alappuzha.json
OLIVE MOUNT,ernakulam.json
THAVALAPPARA,ernakulam.json
SANTHINGAR,ernakulam.json
CHITTETHUKARA BUS STOP- KAKKANAD,ernakulam.json
PARAKKAMUGAL,ernakulam.json
PANAMPILLY NAGAR,ernakulam.json
JEDGEMUKKU,ernakulam.json
ANNAMANADA,ernakulam.json
MALA,ernakulam.json
VALIYAPARAMBU,ernakulam.json
VALIYAPARAMBU,malapuram.json
KURUMASSERY,ernakulam.json
"KOCHI NAVAL AIRPORT,WILLINGDON",ernakulam.json
VAZHAKKALA JN.- KAKKANAD,ernakulam.json
THUTHIYOOR KAKKANAD,ernakulam.json
ERNAKULAM SOUTH JUNCTION- CHITTOOR ROAD,ernakulam.json
MANIBAZAR- MUNAMBAM,ernakulam.json
PUZHAKKAREDATH,ernakulam.json
FACT CD,ernakulam.json
MARADU MARKET,ernakulam.json
PREMIER,ernakulam.json
MANJALY- N.PARAVUR,ernakulam.json
NORTH PARAVUR MARKET BUS STOP,ernakulam.json
NORTH PARAVUR MARKET BUS STOP,malapuram.json
VATTAPPARAMBU,ernakulam.json
NEDUMBASSERY AIRPORT,ernakulam.json
VELLOOR H P C,ernakulam.json
VELLOOR H P C,kottayam.json
VETTIKKAL,ernakulam.json
VELLARAPPILLY,ernakulam.json
KADAMAKKUDY,ernakulam.json
KANAKKANKADAVU,ernakulam.json
ELANTHIKKARA,ernakulam.json
PUTHENVELIKARA,ernakulam.json
THURUTHIPURAM,ernakulam.json
CHENNUR,ernakulam.json
KOTTUVALLY,ernakulam.json
CHALAKKA JN. N.PARAVUR,ernakulam.json
CHERTHALA,ernakulam.json
CHERTHALA,kottayam.json
ADUVASSERY JUMA MADJID,ernakulam.json
MANJAPRA JN.ANGAMALY,ernakulam.json
NORTH PARAVUR MARKET BUSSTOP,ernakulam.json
EDACHIRA JN. KAKKANADD,ernakulam.json
GANDHINAGAR KOCHI,ernakulam.json
"ELOOR DEPOT, ERNAKULAM",ernakulam.json
AROOR,ernakulam.json
AROOR,alappuzha.json
AROOR,vadakara.json
POOYAPPILLY,ernakulam.json
KANNAMALY BUS STOPT,ernakulam.json
MUNNOORPPILLY,ernakulam.json
CHATHAMMA,ernakulam.json
MADAVANA,ernakulam.json
E KODUNGALOOR,ernakulam.json
MANAKKAPADY,ernakulam.json
ERAMALLOOR,ernakulam.json
ERAMALLOOR,alappuzha.json
METHANAM FERRY,ernakulam.json
THEVARA JUCTION- ERNAKULAM - M G ROAD,ernakulam.json
PONEKKARA EDAPPALLY,ernakulam.json
KODUVAKKAD,ernakulam.json
THOPPIL JN. EDAPPALLY,ernakulam.json
PUTHENCRUZ BUS STAND,ernakulam.json
KOZHIVETTUMVELI,ernakulam.json
KOZHIVETTUMVELI C,ernakulam.json
MARAMPILLY,ernakulam.json
POOTHAMKUTTY,ernakulam.json
KURISUMUDY,ernakulam.json
NADAKKAVU THRIPUNITHURA,ernakulam.json
CHOONDI JUNCTION,ernakulam.json
MALAVANA FERRY,ernakulam.json
ILLITHODU,ernakulam.json
EZHATTUMUGHAM,ernakulam.json
BM COLLEGE,ernakulam.json
MULAMKUZHY,ernakulam.json
TRIPUNITHURA ANTI CLOCKWISE,ernakulam.json
CHERIYAPALLY,ernakulam.json
CHATHANAD,ernakulam.json
PERUMBALAM,ernakulam.json
PERUMBALAM,alappuzha.json
MOOTHEDATHUKAVU,ernakulam.json
MOOTHEDATHUKAVU,kottayam.json
EDALAKKAD,ernakulam.json
VALLAMFERRY,ernakulam.json
ELAVOOR,ernakulam.json
W KADUNGALLOOR,ernakulam.json
KUNDANNOOR JUNCTION,ernakulam.json
AMRUTHA HOSPITAL,ernakulam.json
CHEMMANKARI,ernakulam.json
MOOLAMKUZHI,ernakulam.json
AROOKUTTY FERRY,ernakulam.json
FACT,ernakulam.json
"EDAVANAKKAD, VYPIN",ernakulam.json
KEETHOLI,ernakulam.json
PUTHENVELIKKARA,ernakulam.json
KOONAMMAVU,ernakulam.json
WEST KADUNGALLOOR,ernakulam.json
KOTTAYAM BUS STAND,ernakulam.json
KOTTAYAM BUS STAND,kottayam.json
KOTTAYAM BUS STAND,pathanamthitta.json
KOTTAYAM BUS STAND,idukki.json
MUPPATHADOM,ernakulam.json
KADAMAKKUDY JN,ernakulam.json
NEDUNGAD,ernakulam.json
CSEZ,ernakulam.json
,ernakulam.json
,palakkad-1.json
,kottayam.json
,idukki.json
,palakkad-2.json
MULAVUKAD RAILWAY BRIDGE,ernakulam.json
NAVAL AIRPORT,ernakulam.json
TRIPUNITHURA CHOTTANIKKARA,ernakulam.json
KATHRIKADAVU BUS STOP- ERNAKULAM,ernakulam.json
MATTANCHERY,ernakulam.json
AYYAMPUZHA,ernakulam.json
CHATHAMMA PANANGAD,ernakulam.json
ANAPUZHA KAVALA,ernakulam.json
CHENGAMANAD- ALUVA,ernakulam.json
KOMBARA,ernakulam.json
KUNNUMPURAM JN. EDAPPALLY,ernakulam.json
PAMBAIMOOLA JUNCTION,ernakulam.json
ADUVASSERY,ernakulam.json
MANJANAKAD,ernakulam.json
CHEMMAYAM,ernakulam.json
ELAVOOR JN.,ernakulam.json
MOOKKANNOOR- ANGAMALY,ernakulam.json
ANAPPARA,ernakulam.json
ANAPPARA,kottayam.json
ANAPPARA,wayanad.json
ASHTAMICHIRA JN,ernakulam.json
KORATTY,ernakulam.json
KADUKUTTY,ernakulam.json
MAMBRA CHURCH,ernakulam.json
KUMBALAM,ernakulam.json
GURUVAYUR,ernakulam.json
GURUVAYUR,malapuram.json
GURUVAYUR,palakkad-1.json
GURUVAYUR,kottayam.json
GURUVAYUR,palakkad-2.json
KATTIPPARAMBU,ernakulam.json
EROOR JN,ernakulam.json
VADAKKUMPURAM,ernakulam.json
MALIYANKARA,ernakulam.json
CHALAKUDY,ernakulam.json
NARAKKAL,ernakulam.json
KUMBALAPPILLY,ernakulam.json
MANJIKKAD,ernakulam.json
PALLIMUKKU,ernakulam.json
PALLIMUKKU,attingal.json
PALLIMUKKU,kannur.json
SHIPYARD,ernakulam.json
KARAPARAMBU,ernakulam.json
POTTA,ernakulam.json
MENAKA- ERNAKULAM,ernakulam.json
AIRPORT,ernakulam.json
CSEZ KAKKANAD,ernakulam.json
